"record_id","record_slug","metric_key","metric_label","value_label","evidence_level","disclosure_state","applicability_reason"
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","energy_operation","Energy / charging","Not disclosed","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","autonomy_mode","Autonomy mode","Recovery autonomy claimed; test mode unknown","manufacturer","known",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","fleet_size","Fleet size","One pre-alpha robot described","manufacturer","known",""
"HU-R013","walker-s2-rossmann-burgwedel","runtime_hours","Runtime hours","2026 pilot plan; no operating hours","unknown","unknown",""
"HU-R013","walker-s2-rossmann-burgwedel","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R013","walker-s2-rossmann-burgwedel","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R013","walker-s2-rossmann-burgwedel","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R013","walker-s2-rossmann-burgwedel","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R013","walker-s2-rossmann-burgwedel","task_output","Task output","Material handling and sorting reported; no counts","manufacturer","known",""
"HU-R013","walker-s2-rossmann-burgwedel","energy_operation","Energy / charging","Self-changing battery claimed; no observed duty cycle","claim","known",""
"HU-R013","walker-s2-rossmann-burgwedel","autonomy_mode","Autonomy mode","Battery-swap capability stated; task autonomy unknown","claim","known",""
"HU-R013","walker-s2-rossmann-burgwedel","fleet_size","Fleet size","1 Walker S2 confirmed by ROSSMANN","operator","known",""
